x	y
1	32
1	95
4	58
4	69
5	45
5	82
6	9
6	118
8	25
8	102
11	61
11	66
13	3
13	124
15	61
15	66
16	11
16	116
18	33
18	94
19	9
19	118
20	40
20	87
21	8
21	119
28	62
28	65
31	25
31	102
33	62
33	65
36	40
36	87
38	44
38	83
39	41
39	86
40	3
40	124
43	34
43	93
44	37
44	90
45	24
45	103
47	21
47	106
49	52
49	75
50	20
50	107
51	38
51	89
52	0
53	30
53	97
55	55
55	72
56	43
56	84
57	45
57	82
59	19
59	108
61	42
61	85
64	56
64	71
65	45
65	82
66	62
66	65
69	12
69	115
71	40
71	87
73	51
73	76
74	3
74	124
76	10
76	117
77	1
77	126
79	59
79	68
80	50
80	77
81	27
81	100
82	29
82	98
87	30
87	97
88	25
88	102
91	43
91	84
94	42
94	85
95	55
95	72
96	41
96	86
99	42
99	85
101	61
101	66
102	9
102	118
104	55
104	72
107	43
107	84
109	57
109	70
111	36
111	91
114	30
114	97
118	18
118	109
119	41
119	86
120	14
120	113
125	32
125	95
